Temperature,RH,Ws,Rain,DMC,DC,ISI,FFMC_Box,month,Classes
29,57.0,18.0,0.0,3.4,7.6,1.3,5015205.793188056,2,0
29,61.0,13.0,1.3,4.1,7.6,1.0,4628154.085418085,2,0
26,82.0,22.0,13.1,2.5,7.1,0.3,1316428.71504065,2,0
25,89.0,13.0,2.5,1.3,6.9,0.0,177300.56082761168,2,0
27,77.0,16.0,0.0,3.0,14.2,1.2,4744766.521802829,2,0
31,67.0,14.0,0.0,5.8,22.2,3.1,12583856.93893073,2,1
33,54.0,13.0,0.0,9.9,30.5,6.4,16379578.984006949,2,1
30,73.0,15.0,0.0,12.1,38.3,5.6,15217759.105685541,2,1
25,88.0,13.0,0.2,7.9,38.8,0.4,2099342.209803947,2,0
28,79.0,12.0,0.0,9.5,46.3,1.3,7743778.3480845215,2,0
31,65.0,14.0,0.0,12.5,54.3,4.0,13788144.684103992,2,1
26,81.0,19.0,0.0,13.8,61.4,4.8,13463183.179993954,2,1
27,84.0,21.0,1.2,6.7,17.0,0.5,1673712.6168122154,2,0
30,78.0,20.0,0.5,4.6,7.8,1.0,3255055.333209757,2,0
28,80.0,17.0,3.1,3.0,7.4,0.4,1594447.5531085115,2,0
29,89.0,13.0,0.7,1.7,7.6,0.0,452036.86649147747,2,0
30,89.0,16.0,0.6,1.1,7.8,0.0,515521.768819812,2,0
31,78.0,14.0,0.3,1.9,8.0,0.7,2813869.231374002,2,0
31,55.0,16.0,0.1,4.5,16.0,2.5,11010568.585452944,2,0
30,80.0,16.0,0.4,3.4,27.1,0.9,3436092.700898893,2,0
30,78.0,14.0,0.0,6.3,31.6,2.6,11632530.035072383,2,1
31,67.0,17.0,0.1,7.0,39.5,2.4,10574175.64863881,2,0
32,62.0,18.0,0.1,8.2,47.7,3.3,11865113.282084063,2,1
32,66.0,17.0,0.0,11.2,55.8,5.6,14729419.223888401,2,1
31,64.0,15.0,0.0,14.2,63.8,5.7,15288502.053056022,2,1
31,64.0,18.0,0.0,17.8,71.8,6.7,15359491.746769212,2,1
34,53.0,18.0,0.0,21.6,80.3,9.2,16984862.556400515,2,1
32,55.0,14.0,0.0,25.5,88.5,7.6,17061687.4483426,2,1
32,47.0,13.0,0.3,18.4,84.4,2.2,11010568.585452944,2,0
33,50.0,14.0,0.0,22.9,92.8,7.2,16755946.358243318,2,1
29,68.0,19.0,1.0,2.5,8.6,1.1,3459242.8187102643,3,0
27,75.0,19.0,1.2,2.4,8.3,0.8,2582865.7975930204,3,0
32,76.0,20.0,0.7,2.6,9.2,1.3,4263983.483468929,3,0
33,78.0,17.0,0.0,4.6,18.5,2.7,11121748.653223347,3,0
33,66.0,14.0,0.0,7.6,27.9,4.8,14729419.223888401,3,1
32,63.0,14.0,0.0,10.9,37.0,5.6,15502213.673402239,3,1
